Name	Link	Family	Max Thickness (%)	x-Locationof Max Thickness (%)	Camber (%)	Data Sources	Cl max	Cl/Cd max	Cd @ Cl=0.1	Cd @ Cl=0.4	Cd @ Cl=0.6
CURTIS CR-1	CURTIS CR-1	Uncategorized	12.2	24.7	4.7	JF XF	1.73	182	0.006	0.007	0.007
CYRANO II P-30	Cyrano II P-30	Uncategorized	7.1	33.8	2.1	JF XF	0.96	84	0.004	0.006	0.008
D.G.A. 1138	D.G.A. 1138	Uncategorized	6.9	35.8	2.1	JF XF	1.2	81	0.011	0.012	0.011
D6213-S	D6213-S	Ayers	6.2	26.5	1.3	JF XF	0.91	103	0.006	0.005	0.09
D6214-S	D6214-S	Ayers	6.2	26.5	1.4	JF XF	0.91	103	0.006	0.005	0.094
D6515-S	D6515-S	Ayers	6.6	26.5	1.5	JF XF	0.84	104	0.006	0.006	0.026
D6516-S	D6516-S	Ayers	6.5	26.5	1.6	JF XF	0.94	107	0.006	0.005	0.093
D7016-S	D7016-S	Ayers	7.1	26.5	1.6	JF XF	0.97	105	0.006	0.006	0.092
D7017-S	D7017-S	Ayers	7.1	28.2	1.7	JF XF	0.89	106	0.007	0.007	0.016
D7517-S	D7517-S	Ayers	7.5	26.5	1.7	JF XF	1.04	106	0.006	0.006	0.006
D7518-S	D7518-S	Ayers	7.6	26.5	1.8	JF XF	1.05	107	0.006	0.006	0.006
D8018-S	D8018-S	Ayers	8	26.5	1.8	JF XF	0.95	100	0.007	0.007	0.007
D8019-S	D8019-S	Ayers	8	26.5	1.9	JF XF	1.05	106	0.006	0.006	0.007
DA5206	DA5206	Ayers	5.2	23.1	0.6	JF XF	0.64	80	0.006	0.014	0.014
DA5512	DA5512	Ayers	5.5	23.1	1.2	JF XF	0.72	88	0.007	0.062	0.062
DA6016	DA6016	Ayers	6	23.1	1.6	JF XF	0.91	96	0.007	0.007	0.058
DA6515	DA6515	Ayers	6.5	23.1	1.5	JF XF	0.93	95	0.007	0.007	0.041
DA7017	DA7017	Ayers	7	23.1	1.7	JF XF	1.13	120	0.007	0.006	0.006
DA7520	DA7520	Ayers	7.5	23.1	2	JF XF	1.04	99	0.025	0.029	0.007
DA8000	DA8000	Ayers	8	26.5	0	JF XF	0.82	87	0.006	0.007	0.095
DA8015	DA8015	Ayers	8	23.1	1.5	JF XF	1.07	92	0.008	0.009	0.009
DA8024	DA8024	Ayers	8	23.1	2.4	JF XF	1.16	97	0.008	0.026	0.009
